sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,exp_b,calc_b,abs(err),err %,avg abs error,avg % error
0.5,1,,1.4674,1.5,0.0326,2.1749,,,1.4674,1.5,0.0326,2.1749,,,,1.5,1.4674,0.0326,2.2233,,
0.6,0,,0.7962,0.6,0.1962,32.6928,,,0.793,0.6,0.193,32.1682,,,,0.6,0.792,0.192,24.2436,,
0.6,0.1,,0.7184,0.7,0.0184,2.6308,,,0.7184,0.7,0.0184,2.6246,,,,0.7,0.7184,0.0184,2.5589,,
0.6,0.2,,0.7979,0.8,0.0021,0.2611,,,0.7979,0.8,0.0021,0.2641,,,,0.8,0.7979,0.0021,0.2651,,
0.6,0.3,,0.8901,0.9,0.0099,1.0971,,,0.8901,0.9,0.0099,1.0984,,,,0.9,0.8901,0.0099,1.1111,,
0.6,0.4,,0.9835,1,0.0165,1.6522,,,0.9835,1,0.0165,1.6528,,,,1,0.9835,0.0165,1.6807,,
0.6,0.5,,1.0717,1.1,0.0284,2.5782,,,1.0717,1.1,0.0284,2.5785,,,,1.1,1.0717,0.0284,2.6468,,
0.6,0.6,,1.1758,1.2,0.0242,2.0146,,,1.1758,1.2,0.0242,2.015,,,,1.2,1.1758,0.0242,2.0565,,
0.6,0.7,,1.2704,1.3,0.0296,2.2783,,,1.2704,1.3,0.0296,2.2784,,,,1.3,1.2704,0.0296,2.3315,,
0.6,0.8,,1.3686,1.4,0.0314,2.2457,,,1.3686,1.4,0.0314,2.2457,,,,1.4,1.3686,0.0314,2.2973,,
0.6,0.9,,1.4653,1.5,0.0347,2.3162,,,1.4653,1.5,0.0347,2.3162,,,,1.5,1.4653,0.0347,2.3711,,
0.6,1,,1.5625,1.6,0.0375,2.3443,,,1.5625,1.6,0.0375,2.3443,,,,1.6,1.5625,0.0375,2.4005,,
0.7,0,,0.8608,0.7,0.1608,22.9704,,,0.7945,0.7,0.0945,13.4992,,,,0.7,0.786,0.086,10.9422,,
0.7,0.1,,0.8108,0.8,0.0108,1.3506,,,0.8108,0.8,0.0108,1.3515,,,,0.8,0.8108,0.0108,1.3341,,
0.7,0.2,,0.8944,0.9,0.0056,0.626,,,0.8944,0.9,0.0056,0.6237,,,,0.9,0.8944,0.0056,0.6281,,
0.7,0.3,,0.9818,1,0.0182,1.8248,,,0.9818,1,0.0183,1.8251,,,,1,0.9818,0.0183,1.8591,,
0.7,0.4,,1.0763,1.1,0.0237,2.1539,,,1.0763,1.1,0.0237,2.1543,,,,1.1,1.0763,0.0237,2.2018,,
0.7,0.5,,1.1695,1.2,0.0305,2.5418,,,1.1695,1.2,0.0305,2.5417,,,,1.2,1.1695,0.0305,2.608,,
0.7,0.6,,1.2702,1.3,0.0299,2.2961,,,1.2702,1.3,0.0299,2.2962,,,,1.3,1.2702,0.0299,2.3502,,
0.7,0.7,,1.3663,1.4,0.0337,2.4067,,,1.3663,1.4,0.0337,2.4067,,,,1.4,1.3663,0.0337,2.466,,
0.7,0.8,,1.4579,1.5,0.0422,2.8113,,,1.4579,1.5,0.0422,2.8113,,,,1.5,1.4579,0.0422,2.8926,,
0.7,0.9,,1.5523,1.6,0.0477,2.9795,,,1.5523,1.6,0.0477,2.9795,,,,1.6,1.5523,0.0477,3.071,,
0.7,1,,1.6524,1.7,0.0476,2.8,,,1.6524,1.7,0.0476,2.8,,,,1.7,1.6524,0.0476,2.8807,,
0.8,0,,0.8289,0.8,0.0289,3.6078,,,0.7948,0.8,0.0052,0.6488,,,,0.8,0.7898,0.0102,1.2933,,
0.8,0.1,,0.9056,0.9,0.0056,0.6223,,,0.9056,0.9,0.0056,0.6195,,,,0.9,0.9056,0.0056,0.6148,,
0.8,0.2,,0.9924,1,0.0077,0.7655,,,0.9923,1,0.0077,0.7688,,,,1,0.9923,0.0077,0.7761,,
0.8,0.3,,1.0745,1.1,0.0255,2.3219,,,1.0745,1.1,0.0256,2.3235,,,,1.1,1.0745,0.0256,2.3792,,
0.8,0.4,,1.174,1.2,0.0261,2.1718,,,1.174,1.2,0.0261,2.171,,,,1.2,1.174,0.0261,2.2191,,
0.8,0.5,,1.266,1.3,0.0341,2.6194,,,1.266,1.3,0.034,2.6191,,,,1.3,1.266,0.034,2.6895,,
0.8,0.6,,1.3624,1.4,0.0377,2.69,,,1.3624,1.4,0.0377,2.6901,,,,1.4,1.3624,0.0377,2.7645,,
0.8,0.7,,1.4531,1.5,0.0469,3.1278,,,1.4531,1.5,0.0469,3.1279,,,,1.5,1.4531,0.0469,3.2289,,
0.8,0.8,,1.547,1.6,0.053,3.3144,,,1.547,1.6,0.053,3.3144,,,,1.6,1.547,0.053,3.4281,,
0.8,0.9,,1.6511,1.7,0.0489,2.8761,,,1.6511,1.7,0.0489,2.8761,,,,1.7,1.6511,0.0489,2.9613,,
0.8,1,,1.752,1.8,0.048,2.6684,,,1.752,1.8,0.048,2.6684,,,,1.8,1.752,0.048,2.7416,,
0.9,0,,1.5016,0.9,0.6015,66.8372,,,1.3143,0.9,0.4143,46.0307,,,,0.9,1.2943,0.3943,30.4627,,
0.9,0.1,,0.9973,1,0.0027,0.2728,,,0.9971,1,0.0029,0.29,,,,1,0.9971,0.0029,0.2934,,
0.9,0.2,,1.082,1.1,0.018,1.6346,,,1.082,1.1,0.018,1.6393,,,,1.1,1.082,0.018,1.6682,,
0.9,0.3,,1.1706,1.2,0.0294,2.4511,,,1.1706,1.2,0.0294,2.4502,,,,1.2,1.1706,0.0294,2.5117,,
0.9,0.4,,1.2588,1.3,0.0412,3.1716,,,1.2588,1.3,0.0412,3.1713,,,,1.3,1.2588,0.0412,3.2752,,
0.9,0.5,,1.3554,1.4,0.0446,3.1879,,,1.3554,1.4,0.0446,3.1876,,,,1.4,1.3554,0.0446,3.2925,,
0.9,0.6,,1.4564,1.5,0.0436,2.9047,,,1.4565,1.5,0.0436,2.9042,,,,1.5,1.4565,0.0436,2.991,,
0.9,0.7,,1.5413,1.6,0.0587,3.67,,,1.5413,1.6,0.0587,3.6698,,,,1.6,1.5413,0.0587,3.8096,,
0.9,0.8,,1.6414,1.7,0.0586,3.4484,,,1.6414,1.7,0.0586,3.4484,,,,1.7,1.6414,0.0586,3.5716,,
0.9,0.9,,1.737,1.8,0.0631,3.503,,,1.737,1.8,0.0631,3.503,,,,1.8,1.737,0.0631,3.6302,,
0.9,1,,1.843,1.9,0.0571,3.0027,,,1.843,1.9,0.0571,3.0027,,,,1.9,1.843,0.0571,3.0957,,
1,0,,0.874,1,0.126,12.6032,,,0.9093,1,0.0907,9.068,,,,1,0.9149,0.0851,9.2991,,
1,0.1,,1.0846,1.1,0.0154,1.4002,,,1.0849,1.1,0.0151,1.3764,,,,1.1,1.0849,0.0151,1.3922,,
1,0.2,,1.1637,1.2,0.0363,3.0284,,,1.1637,1.2,0.0364,3.0306,,,,1.2,1.1636,0.0364,3.126,,
1,0.3,,1.2632,1.3,0.0368,2.8285,,,1.2632,1.3,0.0368,2.8286,,,,1.3,1.2632,0.0368,2.9108,,
1,0.4,,1.3529,1.4,0.0471,3.3639,,,1.3529,1.4,0.0471,3.3627,,,,1.4,1.3529,0.0471,3.4795,,
1,0.5,,1.4547,1.5,0.0454,3.0239,,,1.4546,1.5,0.0454,3.0247,,,,1.5,1.4546,0.0454,3.1191,,
1,0.6,,1.5431,1.6,0.0569,3.5575,,,1.5431,1.6,0.0569,3.5576,,,,1.6,1.5431,0.0569,3.6889,,
1,0.7,,1.6387,1.7,0.0614,3.6098,,,1.6387,1.7,0.0614,3.6098,,,,1.7,1.6387,0.0614,3.745,,
1,0.8,,1.7346,1.8,0.0654,3.6334,,,1.7346,1.8,0.0654,3.6334,,,,1.8,1.7346,0.0654,3.7704,,
1,0.9,,1.8309,1.9,0.0691,3.639,,,1.8309,1.9,0.0691,3.639,,,,1.9,1.8309,0.0691,3.7764,,
1,1,,1.9374,2,0.0626,3.1297,,,1.9374,2,0.0626,3.1297,,,,2,1.9374,0.0626,3.2309,,
0,0,,0.0298,0,0.0298,148930.0056,,,0.0298,0,0.0298,149085.1639,,,,0,0.0298,0.0298,99.933,,
0,0.1,,0.1154,0.1,0.0154,15.4166,,,0.1154,0.1,0.0154,15.4174,,,,0.1,0.1154,0.0154,13.3586,,
0,0.2,,0.2144,0.2,0.0144,7.2011,,,0.2144,0.2,0.0144,7.201,,,,0.2,0.2144,0.0144,6.7174,,
0,0.3,,0.3167,0.3,0.0167,5.5591,,,0.3167,0.3,0.0167,5.559,,,,0.3,0.3167,0.0167,5.2663,,
0,0.4,,0.4111,0.4,0.0111,2.7664,,,0.4111,0.4,0.0111,2.7664,,,,0.4,0.4111,0.0111,2.6919,,
0,0.5,,0.5114,0.5,0.0113,2.2698,,,0.5114,0.5,0.0113,2.2698,,,,0.5,0.5114,0.0113,2.2194,,
0,0.6,,0.6108,0.6,0.0108,1.8038,,,0.6108,0.6,0.0108,1.8038,,,,0.6,0.6108,0.0108,1.7719,,
0,0.7,,0.7053,0.7,0.0053,0.7614,,,0.7053,0.7,0.0053,0.7614,,,,0.7,0.7053,0.0053,0.7556,,
0,0.8,,0.807,0.8,0.007,0.8785,,,0.807,0.8,0.007,0.8785,,,,0.8,0.807,0.007,0.8709,,
0,0.9,,0.9058,0.9,0.0058,0.6398,,,0.9058,0.9,0.0058,0.6398,,,,0.9,0.9058,0.0058,0.6357,,
0,1,,1.0044,1,0.0044,0.4393,,,1.0044,1,0.0044,0.4393,,,,1,1.0044,0.0044,0.4374,,
0.1,0,,0.1513,0.1,0.0513,51.2699,,,0.1501,0.1,0.0501,50.0544,,,,0.1,0.1499,0.0498,33.2598,,
0.1,0.1,,0.2266,0.2,0.0266,13.2798,,,0.2265,0.2,0.0265,13.2606,,,,0.2,0.2265,0.0265,11.708,,
0.1,0.2,,0.3192,0.3,0.0192,6.4094,,,0.3193,0.3,0.0192,6.4109,,,,0.3,0.3193,0.0192,6.0258,,
0.1,0.3,,0.4151,0.4,0.0151,3.7655,,,0.4151,0.4,0.0151,3.7661,,,,0.4,0.4151,0.0151,3.6293,,
0.1,0.4,,0.5134,0.5,0.0134,2.6791,,,0.5134,0.5,0.0134,2.6788,,,,0.5,0.5134,0.0134,2.6089,,
0.1,0.5,,0.6089,0.6,0.0089,1.4806,,,0.6089,0.6,0.0089,1.4807,,,,0.6,0.6089,0.0089,1.4592,,
0.1,0.6,,0.711,0.7,0.011,1.5736,,,0.711,0.7,0.011,1.5736,,,,0.7,0.711,0.011,1.5493,,
0.1,0.7,,0.8044,0.8,0.0044,0.544,,,0.8044,0.8,0.0044,0.544,,,,0.8,0.8044,0.0044,0.541,,
0.1,0.8,,0.9022,0.9,0.0022,0.2468,,,0.9022,0.9,0.0022,0.2468,,,,0.9,0.9022,0.0022,0.2462,,
0.1,0.9,,1.0001,1,0.0001,0.0068,,,1.0001,1,0.0001,0.0068,,,,1,1.0001,0.0001,0.0068,,
0.1,1,,1.1007,1.1,0.0007,0.0628,,,1.1007,1.1,0.0007,0.0628,,,,1.1,1.1007,0.0007,0.0628,,
0.2,0,,0.2298,0.2,0.0298,14.9112,,,0.2311,0.2,0.0311,15.5259,,,,0.2,0.2313,0.0312,13.5095,,
0.2,0.1,,0.3314,0.3,0.0314,10.4511,,,0.3313,0.3,0.0313,10.4367,,,,0.3,0.3313,0.0313,9.4492,,
0.2,0.2,,0.4191,0.4,0.0191,4.7729,,,0.4191,0.4,0.0191,4.7751,,,,0.4,0.4191,0.0191,4.557,,
0.2,0.3,,0.5145,0.5,0.0145,2.8945,,,0.5145,0.5,0.0145,2.8934,,,,0.5,0.5145,0.0145,2.8117,,
0.2,0.4,,0.6114,0.6,0.0114,1.9042,,,0.6114,0.6,0.0114,1.9044,,,,0.6,0.6114,0.0114,1.869,,
0.2,0.5,,0.7067,0.7,0.0066,0.9481,,,0.7067,0.7,0.0066,0.9482,,,,0.7,0.7067,0.0066,0.9393,,
0.2,0.6,,0.8047,0.8,0.0046,0.5794,,,0.8047,0.8,0.0046,0.5793,,,,0.8,0.8047,0.0046,0.5759,,
0.2,0.7,,0.9047,0.9,0.0047,0.524,,,0.9047,0.9,0.0047,0.524,,,,0.9,0.9047,0.0047,0.5213,,
0.2,0.8,,1.0025,1,0.0025,0.248,,,1.0025,1,0.0025,0.2481,,,,1,1.0025,0.0025,0.2474,,
0.2,0.9,,1.0994,1.1,0.0006,0.0587,,,1.0994,1.1,0.0006,0.0587,,,,1.1,1.0994,0.0006,0.0587,,
0.2,1,,1.1954,1.2,0.0046,0.3821,,,1.1954,1.2,0.0046,0.3821,,,,1.2,1.1954,0.0046,0.3836,,
0.3,0,,0.3579,0.3,0.0579,19.2859,,,0.3585,0.3,0.0585,19.5068,,,,0.3,0.3586,0.0586,16.3429,,
0.3,0.1,,0.4363,0.4,0.0363,9.0739,,,0.4364,0.4,0.0363,9.0843,,,,0.4,0.4364,0.0363,8.3295,,
0.3,0.2,,0.5198,0.5,0.0198,3.9635,,,0.5198,0.5,0.0198,3.964,,,,0.5,0.5198,0.0198,3.8131,,
0.3,0.3,,0.6115,0.6,0.0115,1.9157,,,0.6115,0.6,0.0115,1.9162,,,,0.6,0.6115,0.0115,1.88,,
0.3,0.4,,0.7142,0.7,0.0142,2.028,,,0.7142,0.7,0.0142,2.0283,,,,0.7,0.7142,0.0142,1.988,,
0.3,0.5,,0.8067,0.8,0.0067,0.832,,,0.8067,0.8,0.0067,0.832,,,,0.8,0.8067,0.0067,0.8252,,
0.3,0.6,,0.9012,0.9,0.0012,0.1292,,,0.9012,0.9,0.0012,0.1289,,,,0.9,0.9012,0.0012,0.1287,,
0.3,0.7,,0.9986,1,0.0015,0.1459,,,0.9986,1,0.0015,0.1459,,,,1,0.9986,0.0015,0.1461,,
0.3,0.8,,1.1005,1.1,0.0005,0.0434,,,1.1005,1.1,0.0005,0.0434,,,,1.1,1.1005,0.0005,0.0434,,
0.3,0.9,,1.1902,1.2,0.0098,0.8171,,,1.1902,1.2,0.0098,0.8171,,,,1.2,1.1902,0.0098,0.8238,,
0.3,1,,1.2943,1.3,0.0057,0.4385,,,1.2943,1.3,0.0057,0.4385,,,,1.3,1.2943,0.0057,0.4405,,
0.4,0,,0.4316,0.4,0.0316,7.9032,,,0.4312,0.4,0.0312,7.7885,,,,0.4,0.4314,0.0314,7.2802,,
0.4,0.1,,0.5286,0.5,0.0285,5.7069,,,0.5286,0.5,0.0286,5.7134,,,,0.5,0.5286,0.0286,5.4052,,
0.4,0.2,,0.6203,0.6,0.0203,3.3762,,,0.6203,0.6,0.0203,3.3753,,,,0.6,0.6203,0.0203,3.2653,,
0.4,0.3,,0.711,0.7,0.011,1.5736,,,0.711,0.7,0.011,1.5688,,,,0.7,0.711,0.011,1.544,,
0.4,0.4,,0.8055,0.8,0.0055,0.6827,,,0.8055,0.8,0.0055,0.6832,,,,0.8,0.8055,0.0055,0.679,,
0.4,0.5,,0.9033,0.9,0.0033,0.3664,,,0.9033,0.9,0.0033,0.3662,,,,0.9,0.9033,0.0033,0.3649,,
0.4,0.6,,0.9966,1,0.0035,0.3465,,,0.9966,1,0.0035,0.3467,,,,1,0.9966,0.0035,0.3479,,
0.4,0.7,,1.0996,1.1,0.0004,0.0342,,,1.0996,1.1,0.0004,0.0341,,,,1.1,1.0996,0.0004,0.0341,,
