sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,exp_b,calc_b,abs(err),err %,avg abs error,avg % error
0.6,1,,1.5859,1.6,0.0142,0.8853,,,1.5859,1.6,0.0142,0.8853,,,,1.6,1.5859,0.0142,0.8932,,
0.7,0,,0.701,0.7,0.001,0.1441,,,0.8649,0.7,0.1649,23.5526,,,,0.7,0.8878,0.1878,21.1501,,
0.7,0.1,,0.9157,0.8,0.1157,14.4578,,,0.9132,0.8,0.1132,14.1494,,,,0.8,0.9128,0.1128,12.3565,,
0.7,0.2,,0.9911,0.9,0.0911,10.117,,,0.9913,0.9,0.0913,10.1436,,,,0.9,0.9914,0.0913,9.2136,,
0.7,0.3,,1.0574,1,0.0574,5.7354,,,1.0574,1,0.0574,5.7391,,,,1,1.0574,0.0574,5.4284,,
0.7,0.4,,1.1195,1.1,0.0194,1.7669,,,1.1195,1.1,0.0195,1.7708,,,,1.1,1.1195,0.0195,1.7406,,
0.7,0.5,,1.2868,1.2,0.0868,7.2324,,,1.2868,1.2,0.0868,7.2343,,,,1.2,1.2868,0.0868,6.7466,,
0.7,0.6,,1.3092,1.3,0.0091,0.7038,,,1.3094,1.3,0.0094,0.7193,,,,1.3,1.3094,0.0094,0.7169,,
0.7,0.7,,1.5202,1.4,0.1202,8.5852,,,1.5202,1.4,0.1202,8.5852,,,,1.4,1.5202,0.1202,7.9065,,
0.7,0.8,,1.5816,1.5,0.0816,5.4416,,,1.5816,1.5,0.0816,5.4416,,,,1.5,1.5816,0.0816,5.1607,,
0.7,0.9,,1.7193,1.6,0.1193,7.4563,,,1.7193,1.6,0.1193,7.4563,,,,1.6,1.7193,0.1193,6.9389,,
0.7,1,,1.9212,1.7,0.2212,13.0123,,,1.9212,1.7,0.2212,13.0123,,,,1.7,1.9212,0.2212,11.5141,,
0.8,0,,1.294,0.8,0.494,61.7491,,,1.1731,0.8,0.3731,46.6346,,,,0.8,1.156,0.356,30.7949,,
0.8,0.1,,1.0082,0.9,0.1082,12.0166,,,1.0064,0.9,0.1064,11.821,,,,0.9,1.0061,0.1061,10.5462,,
0.8,0.2,,1.0652,1,0.0651,6.5142,,,1.0641,1,0.0641,6.4075,,,,1,1.0639,0.0639,6.0042,,
0.8,0.3,,1.0818,1.1,0.0182,1.6578,,,1.0815,1.1,0.0185,1.6803,,,,1.1,1.0815,0.0185,1.713,,
0.8,0.4,,1.3192,1.2,0.1192,9.9302,,,1.3191,1.2,0.119,9.9207,,,,1.2,1.319,0.119,9.0239,,
0.8,0.5,,1.3329,1.3,0.0329,2.5298,,,1.333,1.3,0.033,2.538,,,,1.3,1.333,0.033,2.4765,,
0.8,0.6,,1.4673,1.4,0.0673,4.8081,,,1.4673,1.4,0.0673,4.808,,,,1.4,1.4673,0.0673,4.5875,,
0.8,0.7,,1.5443,1.5,0.0443,2.9546,,,1.5443,1.5,0.0443,2.9546,,,,1.5,1.5443,0.0443,2.8698,,
0.8,0.8,,1.4912,1.6,0.1089,6.8033,,,1.4912,1.6,0.1089,6.8033,,,,1.6,1.4912,0.1089,7.2999,,
0.8,0.9,,1.5213,1.7,0.1788,10.5151,,,1.5213,1.7,0.1788,10.5151,,,,1.7,1.5213,0.1788,11.7508,,
