sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,calc_b,exp_b,abs(err),err %,avg abs error,avg % error
0.3,0.4,,0.714216431,0.70002,0.0142,2.028,,,0.714218169,0.70002,0.0142,2.0283,,,,0.714218865,0.70002,1.42E-02,2.03E+00,,
0.3,0.5,,0.806676149,0.80002,0.0067,0.832,,,0.806676249,0.80002,0.0067,0.832,,,,0.806676745,0.80002,6.66E-03,8.32E-01,,
0.3,0.6,,0.901182791,0.90002,0.0012,0.1292,,,0.901180506,0.90002,0.0012,0.1289,,,,0.901180208,0.90002,1.16E-03,1.29E-01,,
0.3,0.7,,0.998561382,1.00002,0.0015,0.1459,,,0.998561382,1.00002,0.0015,0.1459,,,,0.998561581,1.00002,1.46E-03,1.46E-01,,
0.3,0.8,,1.100497444,1.10002,0.0005,0.0434,,,1.100497444,1.10002,0.0005,0.0434,,,,1.100497444,1.10002,4.77E-04,4.34E-02,,
0.3,0.9,,1.190214654,1.20002,0.0098,0.8171,,,1.190214654,1.20002,0.0098,0.8171,,,,1.190214654,1.20002,9.81E-03,8.17E-01,,
0.3,1,,1.294319034,1.30002,0.0057,0.4385,,,1.294319034,1.30002,0.0057,0.4385,,,,1.294319034,1.30002,5.70E-03,4.39E-01,,
0.4,0,,0.431634188,0.40002,0.0316,7.9032,,,0.431175381,0.40002,0.0312,7.7885,,,,0.4314288,0.40002,3.14E-02,7.85E+00,,
0.4,0.1,,0.528555661,0.50002,0.0285,5.7069,,,0.528588196,0.50002,0.0286,5.7134,,,,0.528591424,0.50002,2.86E-02,5.71E+00,,
0.4,0.2,,0.620277623,0.60002,0.0203,3.3762,,,0.620272507,0.60002,0.0203,3.3753,,,,0.620273501,0.60002,2.03E-02,3.38E+00,,
0.4,0.3,,0.711035331,0.70002,0.011,1.5736,,,0.711002102,0.70002,0.011,1.5688,,,,0.71099783,0.70002,1.10E-02,1.57E+00,,
0.4,0.4,,0.805481474,0.80002,0.0055,0.6827,,,0.805486093,0.80002,0.0055,0.6832,,,,0.805488924,0.80002,5.47E-03,6.84E-01,,
0.4,0.5,,0.903317233,0.90002,0.0033,0.3664,,,0.903315842,0.90002,0.0033,0.3662,,,,0.90331614,0.90002,3.30E-03,3.66E-01,,
0.4,0.6,,0.996554891,1.00002,0.0035,0.3465,,,0.996553103,1.00002,0.0035,0.3467,,,,0.996553202,1.00002,3.47E-03,3.47E-01,,
0.4,0.7,,1.099644105,1.10002,0.0004,0.0342,,,1.0996448,1.10002,0.0004,0.0341,,,,1.099645098,1.10002,3.75E-04,3.41E-02,,
0.4,0.8,,1.193497479,1.20002,0.0065,0.5435,,,1.193497479,1.20002,0.0065,0.5435,,,,1.193497479,1.20002,6.52E-03,5.44E-01,,
0.4,0.9,,1.28936549,1.30002,0.0107,0.8196,,,1.28936549,1.30002,0.0107,0.8196,,,,1.28936549,1.30002,1.07E-02,8.20E-01,,
0.4,1,,1.390033265,1.40002,0.01,0.7133,,,1.390033265,1.40002,0.01,0.7133,,,,1.390033265,1.40002,9.99E-03,7.13E-01,,
0.5,0,,0.645023535,0.50002,0.145,28.9995,,,0.631345709,0.50002,0.1313,26.2641,,,,0.629064788,0.50002,1.29E-01,2.58E+01,,
0.5,0.1,,0.636340976,0.60002,0.0363,6.0533,,,0.636227975,0.60002,0.0362,6.0345,,,,0.636219829,0.60002,3.62E-02,6.03E+00,,
0.5,0.2,,0.717181017,0.70002,0.0172,2.4515,,,0.717162788,0.70002,0.0171,2.4489,,,,0.717162291,0.70002,1.71E-02,2.45E+00,,
0.5,0.3,,0.805139244,0.80002,0.0051,0.6399,,,0.80514133,0.80002,0.0051,0.6402,,,,0.805140535,0.80002,5.12E-03,6.40E-01,,
0.5,0.4,,0.908565323,0.90002,0.0085,0.9495,,,0.908564528,0.90002,0.0085,0.9494,,,,0.908564329,0.90002,8.54E-03,9.49E-01,,
0.5,0.5,,0.997632742,1.00002,0.0024,0.2387,,,0.997633338,1.00002,0.0024,0.2387,,,,0.997633934,1.00002,2.39E-03,2.39E-01,,
0.5,0.6,,1.093473037,1.10002,0.0065,0.5952,,,1.093472739,1.10002,0.0065,0.5952,,,,1.093473236,1.10002,6.55E-03,5.95E-01,,
0.5,0.7,,1.195053061,1.20002,0.005,0.4139,,,1.195052663,1.20002,0.005,0.4139,,,,1.195052663,1.20002,4.97E-03,4.14E-01,,
0.5,0.8,,1.287055711,1.30002,0.013,0.9972,,,1.287055711,1.30002,0.013,0.9972,,,,1.287055711,1.30002,1.30E-02,9.97E-01,,
0.5,0.9,,1.391021212,1.40002,0.009,0.6428,,,1.391020914,1.40002,0.009,0.6428,,,,1.391020914,1.40002,9.00E-03,6.43E-01,,
0.5,1,,1.484303673,1.50002,0.0157,1.0477,,,1.484303673,1.50002,0.0157,1.0477,,,,1.484303673,1.50002,1.57E-02,1.05E+00,,
0.6,0,,0.803179741,0.60002,0.2032,33.8588,,,0.758722325,0.60002,0.1587,26.4495,,,,0.751829098,0.60002,1.52E-01,2.53E+01,,
0.6,0.1,,0.726577093,0.70002,0.0266,3.7938,,,0.72654446,0.70002,0.0265,3.7891,,,,0.726537853,0.70002,2.65E-02,3.79E+00,,
0.6,0.2,,0.816577375,0.80002,0.0166,2.0696,,,0.81657956,0.80002,0.0166,2.0699,,,,0.816575289,0.80002,1.66E-02,2.07E+00,,
0.6,0.3,,0.902422468,0.90002,0.0024,0.2669,,,0.90242068,0.90002,0.0024,0.2667,,,,0.902420878,0.90002,2.40E-03,2.67E-01,,
0.6,0.4,,0.994753242,1.00002,0.0053,0.5267,,,0.994737049,1.00002,0.0053,0.5283,,,,0.994736552,1.00002,5.28E-03,5.28E-01,,
0.6,0.5,,1.100540658,1.10002,0.0005,0.0473,,,1.100534797,1.10002,0.0005,0.0468,,,,1.100534201,1.10002,5.14E-04,4.67E-02,,
0.6,0.6,,1.196122766,1.20002,0.0039,0.3248,,,1.196123958,1.20002,0.0039,0.3247,,,,1.196124156,1.20002,3.90E-03,3.25E-01,,
0.6,0.7,,1.286459068,1.30002,0.0136,1.0431,,,1.286458274,1.30002,0.0136,1.0432,,,,1.286458274,1.30002,1.36E-02,1.04E+00,,
0.6,0.8,,1.385458708,1.40002,0.0146,1.0401,,,1.385458906,1.40002,0.0146,1.0401,,,,1.385458906,1.40002,1.46E-02,1.04E+00,,
0.6,0.9,,1.488974094,1.50002,0.011,0.7364,,,1.488974094,1.50002,0.011,0.7364,,,,1.488974094,1.50002,1.10E-02,7.36E-01,,
0.6,1,,1.582128008,1.60002,0.0179,1.1182,,,1.582128008,1.60002,0.0179,1.1182,,,,1.582128008,1.60002,1.79E-02,1.12E+00,,
0.7,0,,0.903542042,0.70002,0.2035,29.0737,,,0.913603206,0.70002,0.2136,30.511,,,,0.914939841,0.70002,2.15E-01,3.07E+01,,
0.7,0.1,,0.832202683,0.80002,0.0322,4.0227,,,0.831900438,0.80002,0.0319,3.985,,,,0.831845204,0.80002,3.18E-02,3.98E+00,,
0.7,0.2,,0.906775792,0.90002,0.0068,0.7506,,,0.906832019,0.90002,0.0068,0.7569,,,,0.906832516,0.90002,6.81E-03,7.57E-01,,
0.7,0.3,,1.000954608,1.00002,0.0009,0.0935,,,1.000989676,1.00002,0.001,0.097,,,,1.000994543,1.00002,9.75E-04,9.75E-02,,
0.7,0.4,,1.095482806,1.10002,0.0045,0.4125,,,1.095482012,1.10002,0.0045,0.4125,,,,1.095479826,1.10002,4.54E-03,4.13E-01,,
0.7,0.5,,1.194381317,1.20002,0.0056,0.4699,,,1.194378436,1.20002,0.0056,0.4701,,,,1.194377442,1.20002,5.64E-03,4.70E-01,,
0.7,0.6,,1.288463374,1.30002,0.0116,0.889,,,1.288468639,1.30002,0.0116,0.8886,,,,1.288469632,1.30002,1.16E-02,8.88E-01,,
0.7,0.7,,1.387699246,1.40002,0.0123,0.88,,,1.38769865,1.40002,0.0123,0.8801,,,,1.38769865,1.40002,1.23E-02,8.80E-01,,
0.7,0.8,,1.483808557,1.50002,0.0162,1.0807,,,1.483808259,1.50002,0.0162,1.0808,,,,1.483808557,1.50002,1.62E-02,1.08E+00,,
0.7,0.9,,1.578447223,1.60002,0.0216,1.3483,,,1.578446726,1.60002,0.0216,1.3483,,,,1.578446726,1.60002,2.16E-02,1.35E+00,,
0.7,1,,1.676989198,1.70002,0.023,1.3547,,,1.676989198,1.70002,0.023,1.3547,,,,1.676989198,1.70002,2.30E-02,1.35E+00,,
0.8,0,,0.924655199,0.80002,0.1246,15.579,,,0.878652434,0.80002,0.0786,9.8288,,,,0.872703691,0.80002,7.27E-02,9.09E+00,,
0.8,0.1,,0.93095839,0.90002,0.0309,3.4375,,,0.930935343,0.90002,0.0309,3.435,,,,0.930942297,0.90002,3.09E-02,3.44E+00,,
0.8,0.2,,1.01301074,1.00002,0.013,1.299,,,1.013005575,1.00002,0.013,1.2985,,,,1.013003091,1.00002,1.30E-02,1.30E+00,,
0.8,0.3,,1.09660546,1.10002,0.0034,0.3104,,,1.096567909,1.10002,0.0035,0.3138,,,,1.096559068,1.10002,3.46E-03,3.15E-01,,
0.8,0.4,,1.194858054,1.20002,0.0052,0.4302,,,1.194863121,1.20002,0.0052,0.4297,,,,1.194863121,1.20002,5.16E-03,4.30E-01,,
0.8,0.5,,1.294619044,1.30002,0.0054,0.4155,,,1.294622223,1.30002,0.0054,0.4152,,,,1.294622521,1.30002,5.40E-03,4.15E-01,,
0.8,0.6,,1.393796106,1.40002,0.0062,0.4446,,,1.393796603,1.40002,0.0062,0.4445,,,,1.393797298,1.40002,6.22E-03,4.44E-01,,
0.8,0.7,,1.477758686,1.50002,0.0223,1.4841,,,1.477760275,1.50002,0.0223,1.484,,,,1.477760673,1.50002,2.23E-02,1.48E+00,,
0.8,0.8,,1.57728831,1.60002,0.0227,1.4207,,,1.577287316,1.60002,0.0227,1.4208,,,,1.577287316,1.60002,2.27E-02,1.42E+00,,
0.8,0.9,,1.695512335,1.70002,0.0045,0.2652,,,1.695512533,1.70002,0.0045,0.2651,,,,1.695512533,1.70002,4.51E-03,2.65E-01,,
0.8,1,,1.774977644,1.80002,0.025,1.3912,,,1.774977644,1.80002,0.025,1.3912,,,,1.774977644,1.80002,2.50E-02,1.39E+00,,
0.9,0,,0.071130687,0.90002,0.8289,92.0968,,,0.054222556,0.90002,0.8458,93.9754,,,,0.049528678,0.90002,8.50E-01,9.45E+01,,
0.9,0.1,,1.026153862,1.00002,0.0261,2.6133,,,1.026082238,1.00002,0.0261,2.6062,,,,1.026073396,1.00002,2.61E-02,2.61E+00,,
0.9,0.2,,1.106354694,1.10002,0.0063,0.5759,,,1.106244822,1.10002,0.0062,0.5659,,,,1.106226246,1.10002,6.21E-03,5.64E-01,,
0.9,0.3,,1.199446817,1.20002,0.0006,0.0478,,,1.199409465,1.20002,0.0006,0.0509,,,,1.19940271,1.20002,6.17E-04,5.14E-02,,
0.9,0.4,,1.282565494,1.30002,0.0175,1.3426,,,1.28257672,1.30002,0.0174,1.3418,,,,1.282577117,1.30002,1.74E-02,1.34E+00,,
0.9,0.5,,1.384377678,1.40002,0.0156,1.1173,,,1.384388606,1.40002,0.0156,1.1165,,,,1.384391189,1.40002,1.56E-02,1.12E+00,,
0.9,0.6,,1.476755142,1.50002,0.0233,1.551,,,1.476752063,1.50002,0.0233,1.5512,,,,1.476750871,1.50002,2.33E-02,1.55E+00,,
0.9,0.7,,1.581590275,1.60002,0.0184,1.1518,,,1.581594547,1.60002,0.0184,1.1516,,,,1.581595043,1.60002,1.84E-02,1.15E+00,,
0.9,0.8,,1.687747439,1.70002,0.0123,0.7219,,,1.687744061,1.70002,0.0123,0.7221,,,,1.687743664,1.70002,1.23E-02,7.22E-01,,
0.9,0.9,,1.775040825,1.80002,0.025,1.3877,,,1.775040627,1.80002,0.025,1.3877,,,,1.775040627,1.80002,2.50E-02,1.39E+00,,
0.9,1,,1.885868708,1.90002,0.0142,0.7448,,,1.885868708,1.90002,0.0142,0.7448,,,,1.885868708,1.90002,1.42E-02,7.45E-01,,
1,0,,1.472058694,1.00002,0.472,47.2029,,,1.220077574,1.00002,0.2201,22.0053,,,,1.186709503,1.00002,1.87E-01,1.87E+01,,
1,0.1,,1.116750638,1.10002,0.0167,1.5209,,,1.117104193,1.10002,0.0171,1.5531,,,,1.117166678,1.10002,1.71E-02,1.56E+00,,
1,0.2,,1.206309795,1.20002,0.0063,0.5241,,,1.206319431,1.20002,0.0063,0.5249,,,,1.206318339,1.20002,6.30E-03,5.25E-01,,
1,0.3,,1.30420953,1.30002,0.0042,0.3223,,,1.304226319,1.30002,0.0042,0.3236,,,,1.304229001,1.30002,4.21E-03,3.24E-01,,
1,0.4,,1.396438777,1.40002,0.0036,0.2558,,,1.396444142,1.40002,0.0036,0.2554,,,,1.396445334,1.40002,3.57E-03,2.55E-01,,
1,0.5,,1.484591365,1.50002,0.0154,1.0286,,,1.484593451,1.50002,0.0154,1.0284,,,,1.48459355,1.50002,1.54E-02,1.03E+00,,
1,0.6,,1.580987771,1.60002,0.019,1.1895,,,1.580986977,1.60002,0.019,1.1895,,,,1.580986579,1.60002,1.90E-02,1.19E+00,,
1,0.7,,1.671266556,1.70002,0.0288,1.6914,,,1.671266158,1.70002,0.0288,1.6914,,,,1.671266158,1.70002,2.88E-02,1.69E+00,,
1,0.8,,1.767667731,1.80002,0.0324,1.7973,,,1.767667731,1.80002,0.0324,1.7973,,,,1.767667731,1.80002,3.24E-02,1.80E+00,,
1,0.9,,1.882756551,1.90002,0.0173,0.9086,,,1.882756551,1.90002,0.0173,0.9086,,,,1.882756551,1.90002,1.73E-02,9.09E-01,,
1,1,,1.971226533,2.00002,0.0288,1.4397,,,1.971226533,2.00002,0.0288,1.4397,,,,1.971226533,2.00002,2.88E-02,1.44E+00,,
0,0,,0.049171454,2.00E-05,0.0492,245757.2698,,,0.049196137,2.00E-05,0.0492,245880.6856,,,,0.049196913,2.00E-05,4.92E-02,2.46E+05,,
0,0.1,,0.132867321,0.10002,0.0328,32.8408,,,0.132869147,0.10002,0.0328,32.8426,,,,0.132868414,0.10002,3.28E-02,3.28E+01,,
0,0.2,,0.232166524,0.20002,0.0321,16.0717,,,0.232167542,0.20002,0.0321,16.0722,,,,0.232167542,0.20002,3.21E-02,1.61E+01,,
0,0.3,,0.331642851,0.30002,0.0316,10.5402,,,0.331643323,0.30002,0.0316,10.5404,,,,0.331643323,0.30002,3.16E-02,1.05E+01,,
0,0.4,,0.431082596,0.40002,0.0311,7.7653,,,0.431082596,0.40002,0.0311,7.7653,,,,0.431082596,0.40002,3.11E-02,7.77E+00,,
0,0.5,,0.532856683,0.50002,0.0328,6.5671,,,0.532856584,0.50002,0.0328,6.5671,,,,0.532856584,0.50002,3.28E-02,6.57E+00,,
0,0.6,,0.629007618,0.60002,0.029,4.8311,,,0.629007618,0.60002,0.029,4.8311,,,,0.629007618,0.60002,2.90E-02,4.83E+00,,
0,0.7,,0.725212743,0.70002,0.0252,3.5989,,,0.725212743,0.70002,0.0252,3.5989,,,,0.725212743,0.70002,2.52E-02,3.60E+00,,
0,0.8,,0.825058768,0.80002,0.025,3.1298,,,0.825058768,0.80002,0.025,3.1298,,,,0.825058768,0.80002,2.50E-02,3.13E+00,,
0,0.9,,0.920075377,0.90002,0.0201,2.2283,,,0.920075377,0.90002,0.0201,2.2283,,,,0.920075377,0.90002,2.01E-02,2.23E+00,,
0,1,,1.02515767,1.00002,0.0251,2.5137,,,1.02515767,1.00002,0.0251,2.5137,,,,1.02515767,1.00002,2.51E-02,2.51E+00,,
0.1,0,,0.172258404,0.10002,0.0722,72.224,,,0.170890602,0.10002,0.0709,70.8564,,,,0.17064472,0.10002,7.06E-02,7.06E+01,,
0.1,0.1,,0.248967459,0.20002,0.0489,24.4713,,,0.248982211,0.20002,0.049,24.4787,,,,0.248976871,0.20002,4.90E-02,2.45E+01,,
0.1,0.2,,0.335803553,0.30002,0.0358,11.9271,,,0.335811873,0.30002,0.0358,11.9298,,,,0.335812842,0.30002,3.58E-02,1.19E+01,,
0.1,0.3,,0.437235981,0.40002,0.0372,9.3035,,,0.437236726,0.40002,0.0372,9.3037,,,,0.437237769,0.40002,3.72E-02,9.30E+00,,
0.1,0.4,,0.536145866,0.50002,0.0361,7.2249,,,0.536147704,0.50002,0.0361,7.2253,,,,0.5361483,0.50002,3.61E-02,7.23E+00,,
0.1,0.5,,0.631499837,0.60002,0.0315,5.2465,,,0.631500334,0.60002,0.0315,5.2465,,,,0.631500483,0.60002,3.15E-02,5.25E+00,,
0.1,0.6,,0.727787862,0.70002,0.0278,3.9667,,,0.727787465,0.70002,0.0278,3.9667,,,,0.727787713,0.70002,2.78E-02,3.97E+00,,
0.1,0.7,,0.826756457,0.80002,0.0267,3.342,,,0.826755961,0.80002,0.0267,3.3419,,,,0.826755961,0.80002,2.67E-02,3.34E+00,,
0.1,0.8,,0.92400223,0.90002,0.024,2.6646,,,0.924002131,0.90002,0.024,2.6646,,,,0.924002131,0.90002,2.40E-02,2.66E+00,,
0.1,0.9,,1.023580531,1.00002,0.0236,2.356,,,1.023580531,1.00002,0.0236,2.356,,,,1.023580531,1.00002,2.36E-02,2.36E+00,,
0.1,1,,1.122865876,1.10002,0.0228,2.0769,,,1.122865876,1.10002,0.0228,2.0769,,,,1.122865876,1.10002,2.28E-02,2.08E+00,,
0.2,0,,0.29866452,0.20002,0.0986,49.3173,,,0.298698048,0.20002,0.0987,49.3341,,,,0.298730284,0.20002,9.87E-02,4.94E+01,,
0.2,0.1,,0.354078288,0.30002,0.0541,18.0182,,,0.35403125,0.30002,0.054,18.0025,,,,0.354024793,0.30002,5.40E-02,1.80E+01,,
0.2,0.2,,0.445609838,0.40002,0.0456,11.3969,,,0.445598612,0.40002,0.0456,11.3941,,,,0.445596327,0.40002,4.56E-02,1.14E+01,,
0.2,0.3,,0.540057172,0.50002,0.04,8.0071,,,0.540058712,0.50002,0.04,8.0074,,,,0.540057321,0.50002,4.00E-02,8.01E+00,,
0.2,0.4,,0.63773786,0.60002,0.0377,6.2861,,,0.637738357,0.60002,0.0377,6.2862,,,,0.637739003,0.60002,3.77E-02,6.29E+00,,
0.2,0.5,,0.727228125,0.70002,0.0272,3.8868,,,0.727230459,0.70002,0.0272,3.8871,,,,0.727230559,0.70002,2.72E-02,3.89E+00,,
0.2,0.6,,0.831544499,0.80002,0.0315,3.9405,,,0.831544598,0.80002,0.0315,3.9405,,,,0.831544399,0.80002,3.15E-02,3.94E+00,,
0.2,0.7,,0.922529499,0.90002,0.0225,2.501,,,0.922529598,0.90002,0.0225,2.501,,,,0.922529499,0.90002,2.25E-02,2.50E+00,,
0.2,0.8,,1.022517482,1.00002,0.0225,2.2497,,,1.022517582,1.00002,0.0225,2.2497,,,,1.022517582,1.00002,2.25E-02,2.25E+00,,
0.2,0.9,,1.129057606,1.10002,0.029,2.6397,,,1.129057407,1.10002,0.029,2.6397,,,,1.129057407,1.10002,2.90E-02,2.64E+00,,
0.2,1,,1.228779952,1.20002,0.0288,2.3966,,,1.228779952,1.20002,0.0288,2.3966,,,,1.228779952,1.20002,2.88E-02,2.40E+00,,
0.3,0,,0.448256532,0.30002,0.1482,49.4089,,,0.442051093,0.30002,0.142,47.3405,,,,0.441452414,0.30002,1.41E-01,4.71E+01,,
0.3,0.1,,0.454914222,0.40002,0.0549,13.7229,,,0.454814285,0.40002,0.0548,13.6979,,,,0.454801271,0.40002,5.48E-02,1.37E+01,,
0.3,0.2,,0.541980962,0.50002,0.042,8.3919,,,0.542007635,0.50002,0.042,8.3972,,,,0.542012205,0.50002,4.20E-02,8.40E+00,,
0.3,0.3,,0.64096426,0.60002,0.0409,6.8238,,,0.640959988,0.60002,0.0409,6.8231,,,,0.640957952,0.60002,4.09E-02,6.82E+00,,
0.3,0.4,,0.731660227,0.70002,0.0316,4.5199,,,0.731660823,0.70002,0.0316,4.52,,,,0.731660972,0.70002,3.16E-02,4.52E+00,,
0.3,0.5,,0.824643771,0.80002,0.0246,3.0779,,,0.824647844,0.80002,0.0246,3.0784,,,,0.824647844,0.80002,2.46E-02,3.08E+00,,
0.3,0.6,,0.927242438,0.90002,0.0272,3.0246,,,0.927241047,0.90002,0.0272,3.0245,,,,0.927241047,0.90002,2.72E-02,3.02E+00,,
0.3,0.7,,1.022701959,1.00002,0.0227,2.2682,,,1.022701561,1.00002,0.0227,2.2681,,,,1.022701462,1.00002,2.27E-02,2.27E+00,,
0.3,0.8,,1.121854782,1.10002,0.0218,1.9849,,,1.121854782,1.10002,0.0218,1.9849,,,,1.121854782,1.10002,2.18E-02,1.98E+00,,
0.3,0.9,,1.225491067,1.20002,0.0255,2.1226,,,1.225490868,1.20002,0.0255,2.1225,,,,1.225490868,1.20002,2.55E-02,2.12E+00,,
0.3,1,,1.321502229,1.30002,0.0215,1.6525,,,1.321502229,1.30002,0.0215,1.6525,,,,1.321502229,1.30002,2.15E-02,1.65E+00,,
0.4,0,,0.522495757,0.40002,0.1225,30.6174,,,0.511698574,0.40002,0.1117,27.9182,,,,0.510101517,0.40002,1.10E-01,2.75E+01,,
0.4,0.1,,0.553548187,0.50002,0.0535,10.7052,,,0.553371459,0.50002,0.0534,10.6699,,,,0.553337584,0.50002,5.33E-02,1.07E+01,,
0.4,0.2,,0.64352716,0.60002,0.0435,7.251,,,0.643533766,0.60002,0.0435,7.2521,,,,0.643534213,0.60002,4.35E-02,7.25E+00,,
0.4,0.3,,0.738091966,0.70002,0.0381,5.4387,,,0.738089134,0.70002,0.0381,5.4383,,,,0.738088638,0.70002,3.81E-02,5.44E+00,,
0.4,0.4,,0.833785832,0.80002,0.0338,4.2206,,,0.833797157,0.80002,0.0338,4.222,,,,0.833798945,0.80002,3.38E-02,4.22E+00,,
0.4,0.5,,0.928117931,0.90002,0.0281,3.1219,,,0.928124885,0.90002,0.0281,3.1227,,,,0.928125878,0.90002,2.81E-02,3.12E+00,,
0.4,0.6,,1.028282444,1.00002,0.0283,2.8262,,,1.028282742,1.00002,0.0283,2.8262,,,,1.02828304,1.00002,2.83E-02,2.83E+00,,
0.4,0.7,,1.121768951,1.10002,0.0217,1.9771,,,1.121768355,1.10002,0.0217,1.9771,,,,1.121768157,1.10002,2.17E-02,1.98E+00,,
0.4,0.8,,1.222313245,1.20002,0.0223,1.8577,,,1.222313245,1.20002,0.0223,1.8577,,,,1.222313245,1.20002,2.23E-02,1.86E+00,,
0.4,0.9,,1.318748395,1.30002,0.0187,1.4406,,,1.318748395,1.30002,0.0187,1.4406,,,,1.318748395,1.30002,1.87E-02,1.44E+00,,
0.4,1,,1.416986088,1.40002,0.017,1.2118,,,1.416986088,1.40002,0.017,1.2118,,,,1.416986287,1.40002,1.70E-02,1.21E+00,,
0.5,0,,0.597034693,0.50002,0.097,19.4022,,,0.592934986,0.50002,0.0929,18.5823,,,,0.592328161,0.50002,9.23E-02,1.85E+01,,
0.5,0.1,,0.653000126,0.60002,0.053,8.8297,,,0.653033753,0.60002,0.053,8.8353,,,,0.653041253,0.60002,5.30E-02,8.84E+00,,
0.5,0.2,,0.740773877,0.70002,0.0408,5.8218,,,0.740726093,0.70002,0.0407,5.815,,,,0.740718494,0.70002,4.07E-02,5.81E+00,,
0.5,0.3,,0.828160147,0.80002,0.0281,3.5174,,,0.828153789,0.80002,0.0281,3.5166,,,,0.828153292,0.80002,2.81E-02,3.52E+00,,
0.5,0.4,,0.928916136,0.90002,0.0289,3.2106,,,0.928909977,0.90002,0.0289,3.2099,,,,0.928908984,0.90002,2.89E-02,3.21E+00,,
0.5,0.5,,1.025805871,1.00002,0.0258,2.5785,,,1.025803487,1.00002,0.0258,2.5783,,,,1.025803089,1.00002,2.58E-02,2.58E+00,,
0.5,0.6,,1.128186782,1.10002,0.0282,2.5606,,,1.128185292,1.10002,0.0282,2.5604,,,,1.128185292,1.10002,2.82E-02,2.56E+00,,
0.5,0.7,,1.220550438,1.20002,0.0205,1.7108,,,1.22054855,1.20002,0.0205,1.7107,,,,1.220548352,1.20002,2.05E-02,1.71E+00,,
0.5,0.8,,1.317182283,1.30002,0.0172,1.3202,,,1.317181786,1.30002,0.0172,1.3201,,,,1.317181587,1.30002,1.72E-02,1.32E+00,,
0.5,0.9,,1.418754657,1.40002,0.0187,1.3382,,,1.418754359,1.40002,0.0187,1.3381,,,,1.418754359,1.40002,1.87E-02,1.34E+00,,
0.5,1,,1.520727774,1.50002,0.0207,1.3805,,,1.520727774,1.50002,0.0207,1.3805,,,,1.520727774,1.50002,2.07E-02,1.38E+00,,
0.6,0,,0.705819875,0.60002,0.1058,17.6327,,,0.723075867,0.60002,0.1231,20.5086,,,,0.724621216,0.60002,1.25E-01,2.08E+01,,
0.6,0.1,,0.761506061,0.70002,0.0615,8.7835,,,0.761607587,0.70002,0.0616,8.798,,,,0.761614243,0.70002,6.16E-02,8.80E+00,,
0.6,0.2,,0.84643205,0.80002,0.0464,5.8014,,,0.846445262,0.80002,0.0464,5.803,,,,0.846443474,0.80002,4.64E-02,5.80E+00,,
0.6,0.3,,0.936258435,0.90002,0.0362,4.0264,,,0.9362789,0.90002,0.0363,4.0287,,,,0.936283569,0.90002,3.63E-02,4.03E+00,,
0.6,0.4,,1.029888093,1.00002,0.0299,2.9867,,,1.029878557,1.00002,0.0299,2.9858,,,,1.029876471,1.00002,2.99E-02,2.99E+00,,
0.6,0.5,,1.128593683,1.10002,0.0286,2.5976,,,1.128583352,1.10002,0.0286,2.5966,,,,1.128581862,1.10002,2.86E-02,2.60E+00,,
0.6,0.6,,1.224563519,1.20002,0.0245,2.0453,,,1.224559744,1.20002,0.0245,2.0449,,,,1.224558751,1.20002,2.45E-02,2.04E+00,,
0.6,0.7,,1.325655381,1.30002,0.0256,1.9719,,,1.32565707,1.30002,0.0256,1.9721,,,,1.325657368,1.30002,2.56E-02,1.97E+00,,
0.6,0.8,,1.411415537,1.40002,0.0114,0.814,,,1.411417325,1.40002,0.0114,0.8141,,,,1.411417127,1.40002,1.14E-02,8.14E-01,,
0.6,0.9,,1.520147224,1.50002,0.0201,1.3418,,,1.520147224,1.50002,0.0201,1.3418,,,,1.520147224,1.50002,2.01E-02,1.34E+00,,
0.6,1,,1.629443765,1.60002,0.0294,1.839,,,1.629443765,1.60002,0.0294,1.839,,,,1.629443765,1.60002,2.94E-02,1.84E+00,,
0.7,0,,0.854356786,0.70002,0.1543,22.0475,,,0.867224932,0.70002,0.1672,23.8857,,,,0.869261821,0.70002,1.69E-01,2.42E+01,,
0.7,0.1,,0.84992667,0.80002,0.0499,6.2382,,,0.849964817,0.80002,0.0499,6.2429,,,,0.849968592,0.80002,4.99E-02,6.24E+00,,
0.7,0.2,,0.948628287,0.90002,0.0486,5.4008,,,0.948553483,0.90002,0.0485,5.3925,,,,0.948538482,0.90002,4.85E-02,5.39E+00,,
0.7,0.3,,1.040098568,1.00002,0.0401,4.0078,,,1.040065885,1.00002,0.04,4.0045,,,,1.04005903,1.00002,4.00E-02,4.00E+00,,
0.7,0.4,,1.138586104,1.10002,0.0386,3.5059,,,1.138581236,1.10002,0.0386,3.5055,,,,1.138581435,1.10002,3.86E-02,3.51E+00,,
0.7,0.5,,1.230883102,1.20002,0.0309,2.5719,,,1.230881015,1.20002,0.0309,2.5717,,,,1.230880817,1.20002,3.09E-02,2.57E+00,,
0.7,0.6,,1.322623094,1.30002,0.0226,1.7387,,,1.322633525,1.30002,0.0226,1.7395,,,,1.322634916,1.30002,2.26E-02,1.74E+00,,
0.7,0.7,,1.421307325,1.40002,0.0213,1.5205,,,1.421308517,1.40002,0.0213,1.5206,,,,1.421308815,1.40002,2.13E-02,1.52E+00,,
