sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,calc_b,exp_b,abs(err),err %,avg abs error,avg % error
0.3,0.3,,0.609213064,0.60002,0.0092,1.5321,,,0.609203527,0.60002,0.0092,1.5305,,,,0.609202981,0.60002,9.18E-03,1.53E+00,,
0.3,0.4,,0.703344842,0.70002,0.0033,0.475,,,0.70334355,0.70002,0.0033,0.4748,,,,0.703343401,0.70002,3.32E-03,4.75E-01,,
0.3,0.5,,0.799314628,0.80002,0.0007,0.0882,,,0.79931582,0.80002,0.0007,0.088,,,,0.799316267,0.80002,7.04E-04,8.80E-02,,
0.3,0.6,,0.892105202,0.90002,0.0079,0.8794,,,0.892107685,0.90002,0.0079,0.8791,,,,0.892108281,0.90002,7.91E-03,8.79E-01,,
0.3,0.7,,0.988697112,1.00002,0.0113,1.1323,,,0.988697211,1.00002,0.0113,1.1323,,,,0.988697012,1.00002,1.13E-02,1.13E+00,,
0.3,0.8,,1.08767579,1.10002,0.0123,1.1222,,,1.08767579,1.10002,0.0123,1.1222,,,,1.08767579,1.10002,1.23E-02,1.12E+00,,
0.3,0.9,,1.186805864,1.20002,0.0132,1.1012,,,1.186805864,1.20002,0.0132,1.1012,,,,1.186805864,1.20002,1.32E-02,1.10E+00,,
0.3,1,,1.281117201,1.30002,0.0189,1.454,,,1.281117201,1.30002,0.0189,1.454,,,,1.281117598,1.30002,1.89E-02,1.45E+00,,
0.4,0,,0.442537516,0.40002,0.0425,10.6288,,,0.440071871,0.40002,0.0401,10.0125,,,,0.439626724,0.40002,3.96E-02,9.90E+00,,
0.4,0.1,,0.521961997,0.50002,0.0219,4.3882,,,0.521838367,0.50002,0.0218,4.3635,,,,0.521814724,0.50002,2.18E-02,4.36E+00,,
0.4,0.2,,0.607392291,0.60002,0.0074,1.2287,,,0.607376794,0.60002,0.0074,1.2261,,,,0.607378632,0.60002,7.36E-03,1.23E+00,,
0.4,0.3,,0.704613775,0.70002,0.0046,0.6562,,,0.704597135,0.70002,0.0046,0.6539,,,,0.704593907,0.70002,4.57E-03,6.53E-01,,
0.4,0.4,,0.795715849,0.80002,0.0043,0.538,,,0.795713613,0.80002,0.0043,0.5383,,,,0.795712769,0.80002,4.31E-03,5.38E-01,,
0.4,0.5,,0.889134208,0.90002,0.0109,1.2095,,,0.889136791,0.90002,0.0109,1.2092,,,,0.889137288,0.90002,1.09E-02,1.21E+00,,
0.4,0.6,,0.988848408,1.00002,0.0112,1.1171,,,0.988848309,1.00002,0.0112,1.1171,,,,0.988848011,1.00002,1.12E-02,1.12E+00,,
0.4,0.7,,1.08274589,1.10002,0.0173,1.5703,,,1.082745989,1.10002,0.0173,1.5703,,,,1.082746188,1.10002,1.73E-02,1.57E+00,,
0.4,0.8,,1.18139863,1.20002,0.0186,1.5518,,,1.181399326,1.20002,0.0186,1.5517,,,,1.181399524,1.20002,1.86E-02,1.55E+00,,
